eid,bracket,t_hr,cost,gas_cost,food_cost,toll_cost,exp_fine
65,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
65,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
65,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
65,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
66,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
66,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
66,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
66,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
67,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
67,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
67,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
67,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
68,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
68,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
68,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
68,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
69,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
69,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
69,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
69,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
70,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
70,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
70,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
70,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
71,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
71,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
71,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
71,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
72,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
72,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
72,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
72,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
73,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
73,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
73,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
73,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
74,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
74,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
74,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
74,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
75,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
75,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
75,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
75,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
76,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
76,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
76,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
76,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
77,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
77,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
77,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
77,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
78,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
78,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
78,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
78,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
79,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
79,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
79,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
79,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
80,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
80,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
80,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
80,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
81,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
81,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
81,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
81,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
82,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
82,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
82,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
82,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
83,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
83,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
83,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
83,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
84,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
84,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
84,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
84,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
85,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
85,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
85,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
85,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
86,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
86,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
86,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
86,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
87,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
87,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
87,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
87,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
